train:,"[{'acc': 0.96484375, 'cm': array([[928,   2,   7,  23],
       [  0, 955,   0,   5],
       [ 11,   0, 924,  25],
       [ 31,   6,  25, 898]]), 'loss': 0.17643289566040038}]"
val: ,"[{'acc': 0.9557291666666666, 'cm': array([[189,   1,   4,   3],
       [  0, 186,   0,   1],
       [  1,   0, 176,   8],
       [  8,   1,   7, 183]]), 'loss': 0.18870580196380615}]"
test,"[{'acc': 0.9104166666666667, 'cm': array([[226,   1,   8,   5],
       [  0, 238,   0,   2],
       [ 12,   0, 212,  16],
       [ 23,   5,  14, 198]]), 'loss': 0.2691719690958659}]"
