train:,"[{'acc': 1.0, 'cm': array([[500,   0,   0,   0],
       [  0, 500,   0,   0],
       [  0,   0, 500,   0],
       [  0,   0,   0, 500]]), 'loss': 0.008713567733764648}]"
val: ,"[{'acc': 1.0, 'cm': array([[ 96,   0,   0,   0],
       [  0, 106,   0,   0],
       [  0,   0, 101,   0],
       [  0,   0,   0,  97]]), 'loss': 0.008838823437690735}]"
test,"[{'acc': 0.3591666666666667, 'cm': array([[ 42, 215,   6,  37],
       [  2, 288,   2,   8],
       [ 13, 230,   6,  51],
       [ 38, 159,   8,  95]]), 'loss': 1.8077492268880209}]"
