train:,"[{'acc': 1.0, 'cm': array([[240,   0,   0,   0],
       [  0, 240,   0,   0],
       [  0,   0, 240,   0],
       [  0,   0,   0, 240]]), 'loss': 0.04600400924682617}]"
val: ,"[{'acc': 1.0, 'cm': array([[55,  0,  0,  0],
       [ 0, 46,  0,  0],
       [ 0,  0, 43,  0],
       [ 0,  0,  0, 48]]), 'loss': 0.04984939098358154}]"
test,"[{'acc': 0.9541666666666667, 'cm': array([[57,  0,  2,  1],
       [ 0, 60,  0,  0],
       [ 1,  0, 56,  3],
       [ 1,  0,  3, 56]]), 'loss': 0.17216892242431642}]"
