train:,"[{'acc': 0.7875, 'cm': array([[116,   0, 118,   1],
       [  0, 228,   0,   0],
       [ 84,   0, 171,   0],
       [  1,   0,   0, 241]]), 'loss': 0.37011213302612306}]"
val: ,"[{'acc': 0.6927083333333334, 'cm': array([[ 8,  0, 33,  1],
       [ 0, 51,  0,  0],
       [24,  0, 22,  0],
       [ 1,  0,  0, 52]]), 'loss': 0.42151808738708496}]"
test,"[{'acc': 0.5875, 'cm': array([[ 2,  0, 63,  0],
       [ 0, 71,  0,  1],
       [34,  0, 10,  1],
       [ 0,  0,  0, 58]]), 'loss': 0.646189816792806}]"
