train:,"[{'acc': 1.0, 'cm': array([[400,   0,   0,   0],
       [  0, 400,   0,   0],
       [  0,   0, 400,   0],
       [  0,   0,   0, 400]]), 'loss': 0.005774137973785401}]"
val: ,"[{'acc': 1.0, 'cm': array([[74,  0,  0,  0],
       [ 0, 82,  0,  0],
       [ 0,  0, 81,  0],
       [ 0,  0,  0, 83]]), 'loss': 0.006488264352083206}]"
test,"[{'acc': 1.0, 'cm': array([[100,   0,   0,   0],
       [  0, 100,   0,   0],
       [  0,   0, 100,   0],
       [  0,   0,   0, 100]]), 'loss': 0.008481229543685914}]"
