train:,"[{'acc': 0.9927083333333333, 'cm': array([[237,   0,   1,   2],
       [  0, 240,   0,   0],
       [  0,   0, 240,   0],
       [  1,   0,   3, 236]]), 'loss': 0.13398332595825196}]"
val: ,"[{'acc': 0.9947916666666666, 'cm': array([[42,  0,  0,  1],
       [ 0, 55,  0,  0],
       [ 0,  0, 49,  0],
       [ 0,  0,  0, 45]]), 'loss': 0.1258131961027781}]"
test,"[{'acc': 0.8916666666666667, 'cm': array([[49,  0,  6,  5],
       [ 0, 59,  0,  1],
       [ 2,  0, 58,  0],
       [ 5,  0,  7, 48]]), 'loss': 0.33022085825602215}]"
