train:,"[{'acc': 0.9866666666666667, 'cm': array([[296,   0,   3,   1],
       [  0, 300,   0,   0],
       [  0,   0, 297,   3],
       [  3,   0,   6, 291]]), 'loss': 0.11197414398193359}]"
val: ,"[{'acc': 0.9875, 'cm': array([[77,  0,  1,  0],
       [ 0, 55,  0,  0],
       [ 0,  0, 61,  0],
       [ 0,  0,  2, 44]]), 'loss': 0.12136120001475016}]"
test,"[{'acc': 0.405, 'cm': array([[359,   1, 120,  20],
       [438,   6,  47,   9],
       [177,   3, 312,   8],
       [260,   0, 107, 133]]), 'loss': 1.9097149658203125}]"
