train:,"[{'acc': 0.9547916666666667, 'cm': array([[1139,    2,   30,   29],
       [   0, 1194,    0,    6],
       [  20,    0, 1154,   26],
       [  42,    7,   55, 1096]]), 'loss': 0.1960733413696289}]"
val: ,"[{'acc': 0.9520833333333333, 'cm': array([[237,   0,   6,   7],
       [  0, 253,   0,   1],
       [  5,   0, 218,   8],
       [  6,   0,  13, 206]]), 'loss': 0.21166226069132488}]"
test,"[{'acc': 0.402375, 'cm': array([[1344,   81,  414,  161],
       [1717,   22,  235,   26],
       [ 835,  161,  930,   74],
       [ 918,    4,  155,  923]]), 'loss': 2.0293814697265624}]"
