train:,"[{'acc': 0.99953125, 'cm': array([[1599,    1,    0,    0],
       [   0, 1600,    0,    0],
       [   0,    0, 1600,    0],
       [   0,    0,    2, 1598]]), 'loss': 0.022053298950195314}]"
val: ,"[{'acc': 0.99921875, 'cm': array([[325,   0,   0,   0],
       [  0, 303,   0,   0],
       [  0,   0, 336,   0],
       [  0,   0,   1, 315]]), 'loss': 0.02539133429527283}]"
test,"[{'acc': 0.984375, 'cm': array([[396,   0,   3,   1],
       [  0, 397,   2,   1],
       [  3,   1, 389,   7],
       [  1,   1,   5, 393]]), 'loss': 0.04845786094665527}]"
