train:,"[{'acc': 0.9979166666666667, 'cm': array([[240,   0,   0,   0],
       [  0, 240,   0,   0],
       [  0,   0, 239,   1],
       [  0,   0,   1, 239]]), 'loss': 0.05721508264541626}]"
val: ,"[{'acc': 1.0, 'cm': array([[61,  0,  0,  0],
       [ 0, 44,  0,  0],
       [ 0,  0, 46,  0],
       [ 0,  0,  0, 41]]), 'loss': 0.05695630609989166}]"
test,"[{'acc': 0.9708333333333333, 'cm': array([[57,  0,  1,  2],
       [ 0, 60,  0,  0],
       [ 0,  0, 58,  2],
       [ 0,  0,  2, 58]]), 'loss': 0.17147706349690756}]"
