train:,"[{'acc': 0.9965277777777778, 'cm': array([[71,  0,  1,  0],
       [ 0, 72,  0,  0],
       [ 0,  0, 72,  0],
       [ 0,  0,  0, 72]]), 'loss': 0.2203619877497355}]"
val: ,"[{'acc': 1.0, 'cm': array([[13,  0,  0,  0],
       [ 0, 13,  0,  0],
       [ 0,  0, 17,  0],
       [ 0,  0,  0, 14]]), 'loss': 0.23552216981586657}]"
test,"[{'acc': 0.7847222222222222, 'cm': array([[58,  4,  6,  4],
       [11, 50, 11,  0],
       [ 0,  0, 62, 10],
       [ 0,  0, 16, 56]]), 'loss': 0.5382963816324869}]"
