train:,"[{'acc': 1.0, 'cm': array([[400,   0,   0,   0],
       [  0, 400,   0,   0],
       [  0,   0, 400,   0],
       [  0,   0,   0, 400]]), 'loss': 0.0034231799840927124}]"
val: ,"[{'acc': 1.0, 'cm': array([[65,  0,  0,  0],
       [ 0, 88,  0,  0],
       [ 0,  0, 81,  0],
       [ 0,  0,  0, 86]]), 'loss': 0.003224547579884529}]"
test,"[{'acc': 0.9975, 'cm': array([[100,   0,   0,   0],
       [  0,  99,   1,   0],
       [  0,   0, 100,   0],
       [  0,   0,   0, 100]]), 'loss': 0.013208953142166137}]"
